Metatron	1
Beelzebub	1
Cu Chulainn	1
Jack-o'-Lantern	1
Jack Frost	1
Pixie	1
Cerberus	1
Lilim	1
Eligor	1
Odin	1
Hua Po	1
Decarabia	1
Mara	1
Ose	1
Thor	1
Unicorn	1
Uriel	1
Sarasvati	1
Valkyrie	1
Yaksini	1
Ganesha	1
Anubis	1
Mot	1
Raphael	1
Scathach	1
High Pixie	1
Barong	1
Girimehkala	1
King Frost	1
Narcissus	1
Isis	1
Lamia	1
Legion	1
Rakshasa	1
Mokoi	1
Forneus	1
Setanta	1
Titania	1
Incubus	1
Oni	1
Lilith	1
Rangda	1
Makami	1
Parvati	1
Gabriel	1
Zaou-Gongen	1
Alice	1
Kali	1
Kurama Tengu	1
Oberon	1
Shiki-Ouji	1
Yamata-no-Orochi	1
Orobas	1
Hanuman	1
Archangel	1
Obariyon	1
Queen Mab	1
Sandalphon	1
Abaddon	1
Shiisaa	1
Sandman	1
Belial	1
Leanan Sidhe	1
Cybele	1
Chernobog	1
Flauros	1
Ippon-Datara	1
Orthrus	1
Succubus	1
Mothman	1
RESERVE	0
Dominion	1
Nekomata	1
Black Frost	1
Arahabaki	1
Angel	1
Skadi	1
Kikuri-Hime	1
Chi You	1
Power	1
Inugami	1
Nebiros	1
RESERVE	0
Slime	1
Anzu	1
Yatagarasu	1
Yoshitsune	1
Take-Minakata	1
Ame-no-Uzume	1
Kushinada	1
Kumbhanda	1
Ongyo-Ki	1
Kin-Ki	1
Sui-Ki	1
Fuu-Ki	1
Jatayu	1
Kaiwan	1
Kelpie	1
Thoth	1
Dionysus	1
Apsaras	1
Andras	1
RESERVE	0
Koropokkuru	1
Koppa Tengu	1
Regent	1
Queen's Necklace	1
Stone of Scone	1
Koh-i-Noor	1
Orlov	1
Emperor's Amulet	1
Hope Diamond	1
Crystal Skull	1
Orichalcum	1
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
Mandrake	1
Baal	1
Dakini	1
Silky	1
Bugs	1
Black Ooze	1
Bicorn	1
Mithras	1
Sudama	1
Kodama	1
Agathion	1
Onmoraki	1
Nue	1
Pisaca	1
Melchizedek	1
Baphomet	1
Raja Naga	1
Naga	1
Garuda	1
Moloch	1
Norn	1
Belphegor	1
Berith	1
Choronzon	1
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
Nigi Mitama	1
Kusi Mitama	1
Ara Mitama	1
Saki Mitama	1
RESERVE	0
Shiva	1
Michael	1
Asura	1
Mada	1
Mother Harlot	1
Clotho	1
Lachesis	1
Atropos	1
Ardha	1
RESERVE	0
Vishnu	1
Hariti	1
Yurlungur	1
Hecatoncheires	1
Satanael	1
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
Orpheus	0
Thanatos	0
Izanagi	0
Magatsu-Izanagi	0
Kaguya	0
Ariadne	0
Asterius	0
Tsukiyomi	0
Messiah	0
Messiah Picaro	0
